title,artist,total_play_time
悲しくて lulululu -ハーサカver.- - Kanashikute lulululu -Hayasaka Version-,Keiki Nishida,211m 5s
Arz Kiya Hai | Coke Studio Bharat,Anuv Jain,204m 8s
Ehsaas,Faheem Abdullah,202m 17s
"Deewaniyat (From ""Ek Deewane Ki Deewaniyat"") (Original Motion Picture Soundtrack)",Vishal Mishra,168m 51s
AWAARA,ALTAMASH FARIDI,140m 21s
Jatta,Harnoor,125m 17s
High On You,Jind Universe,121m 15s
KATRA KATRA,"ANKIT TIWARI, PRAKRITI KAKAR, & ABHENDRA KUMAR UPADHYAY",117m 1s
ツバサ - Tsubasa,Nanahoshi (CV:Shion Wakayama),108m 15s
Dil Tarse,Arslan Nizami,108m 3s
No One Like Us,"Umair, Abdullah Maharvi, & JANI",90m 0s
Maula Mere Maula,Roop Kumar Rathod,88m 2s
RAAT KHATAM,DRV,86m 45s
"O Rangrez (From ""Bhaag Milkha Bhaag"")",SHANKAR-EHSAAN-LOY,85m 48s
Sahiba,Aditya Rikhari,85m 35s
For A Reason,Karan Aujla,78m 3s
OBVIOUS (feat. Hasan Raheem),Umair,77m 58s
you feel me? ft. Abdullah Maharvi Prod. @RITHMETIC,Jokhay,76m 26s
Humdum,Vishal Mishra,75m 47s
Pal Pal (with Talwiinder),Afusic,66m 31s
Jiya Laage Na,Aditya Rikhari,64m 48s
Gata Only (Slowed And Reverb),Abbu Rhythm,61m 17s
Tere Ho Ke Rahenge,Arijit Singh,58m 14s
Deewane (feat. Bir),Navaan Sandhu,57m 48s
shutup call,Jevin Gill,57m 39s
"ギターと孤独と蒼い惑星 - Guitar, Loneliness and Blue Planet",kessoku band,56m 18s
Headache,Asal,55m 7s
No Love,Shubh,54m 40s
Gallan 4,Talwiinder,52m 5s
Sahiba,"Jasleen Royal, Stebin Ben, Vijay Deverakonda, Radhikka Madan, Priya Saraiya, and Aditya Sharma",51m 49s
Hasti Rahe Tu,Paradox,51m 7s
Jaadugar,Paradox,49m 38s
Deewane (feat. Bir),Navaan Sandhu,48m 1s
IJAZAT,Meet Bros.,47m 18s
Suroor,Aditya Rikhari,47m 12s
Oliver Twist,ArrDee,46m 34s
Yezdi,Nanku,43m 27s
WALK PAST,"JANI, Jokhay, & JJ47",41m 38s
BOOND BOOND,Ankit Tiwari,38m 26s
Tu Hi Das De,Simar Panag,37m 47s
"Shareh, @JANIMUSIC & @superdupersultan - COME AROUND",Shareh,37m 36s
You and Me,Shubh,37m 18s
Triple OG,DIVINE,37m 15s
Finding Her,Kushagra,36m 30s
Saiyaara (Movie: Saiyaara),Faheem Abdullah,34m 55s
Wavy,Karan Aujla & Jay Trak,34m 20s
アルビレオ - Albireo,Rokudenashi,33m 51s
Tu Aake Dekhle,King,32m 5s
OG,Shubh,30m 36s
Mileya Ni,Paradox,30m 14s
You,Asal,30m 6s
Darkside,Alan Walker,30m 2s
Woh,Khatth,29m 26s
Ae Yaad,Faheem Abdullah,26m 47s
Cry In My Arms,Southstar,26m 43s
Kho Gaye,Taaruk Raina & Mismatched - Cast,26m 21s
Chann Vekhya,Harnoor,25m 43s
Boyfriend,Karan Aujla,25m 40s
Paradoxes,Miyu Tomita,25m 17s
"Ishq (From ""Lost;Found"")",Faheem Abdullah,25m 15s
Faded,Alan Walker,24m 44s
Haseen,Talwiinder,24m 29s
指髪 - チョーキューメイ Covered by 理芽 / RIM,RIM,24m 25s
Welcome To Brixton,SR,24m 16s
不可思議のカルテ - Fukashigi no KARTE,"Mai Sakurajima(CV:Asami Seto), Tomoe Koga(CV:Nao Toyama), Rio Futaba(CV:Atsumi Tanezaki), Nodoka Toyohama(CV:Maaya Uchida), Kaede Azusagawa(CV:Yurika Kubo), and Shoko Makinohara(CV:Inori Minase)",23m 56s
Pardes Katenda,Adnan Dhool,23m 53s
"Soni Soni (From ""Ishq Vishk Rebound"")",Darshan Raval,23m 36s
Apogee,skyfall beats,23m 25s
Been a While,"KR$NA, Talha Anjum, & Umair",23m 12s
Rainy Nights,Jokhay,22m 48s
The Spectre,Alan Walker,22m 33s
Meantime - ansh,ansh,22m 30s
Plain Sight,ansh,22m 10s
Nasha,Vision & talwiinder,22m 6s
星座になれたら - If I could be a constellation,kessoku band,22m 5s
Sajna Ve,Ravator,22m 3s
Heer,Ali Raza,22m 2s
Heer (Sped Up),Ali Raza,21m 54s
IF YOU,"JANI, Jokhay, & JJ47",21m 53s
TUTOR,Gurj Sidhu,21m 53s
Royalty,Egzod,21m 45s
生きるよすが - Reason for existence,Tsukuyomi,21m 23s
Sahiba,Aditya Rikhari,21m 22s
"Aasa Kooda (From ""Think Indie"")",Sai Abhyankkar,21m 15s
Humdum,Aditya Rikhari,21m 11s
Supreme,Shubh,20m 59s
Let Me Love You (feat. Justin Bieber),DJ Snake,20m 50s
Reggae & Calypso (Russ Millions x Buni x YV),Russ Millions,20m 37s
Sunset Hills,Pius Arther,20m 36s
Haseen,Talwiinder,20m 17s
Barbaad (Movie: Saiyaara),Jubin Nautiyal,20m 7s
Galliyan,Ankit Tiwari,20m 2s
花に雨を、君に歌を,THE BINARY,20m 0s
California Love,Cheema Y,19m 46s
Loading,Central Cee,19m 39s
Waalian,Harnoor,19m 29s
Alone,Alan Walker,19m 28s
Antidote,Karan Aujla,19m 16s
Moonlight,Harnoor,19m 0s
Dhun (Movie: Saiyaara),Arijit Singh,18m 57s
翼をあげたい - I Want to Give You Wings,Chika Fujiwara(CV:Konomi Kohara),18m 50s
HANGOVER,Meet Bros.,18m 47s
Walking with You,Novelbright,18m 36s
Jhol,Maanu,18m 36s
Sincerely,TRUE,18m 24s
apogee (Slowed),skyfall beats,18m 18s
Out Of Time,JANI,18m 13s
Trust in You,sweet ARMS,18m 5s
Floating (feat. Joseay),MitroWave,18m 3s
SWEET SORROWS,"JANI, Abdullah Maharvi, JJ47, and Superdupersultan",18m 0s
Apogee,skyfall beats,17m 42s
感傷幽霊 - Kansyouyuurei,ナツノセ,17m 37s
Rooh,Tej Gill,17m 23s
Yeh Haseen Vadiyan (Rewind Version) (feat. Sowmya Krishnamachari),Abhay Jodhpurkar,17m 20s
Ik Lamha,Azaan Sami Khan,17m 15s
Kamlee,SARRB,17m 2s
星降る奇跡 - Starry miracle (feat. Lucia),Rayu,16m 58s
Pehle Bhi Main,Vishal Mishra,16m 43s
Heeriye (feat. Arijit Singh),Jasleen Royal,16m 35s
Nasamajh,Aditya Rikhari,16m 34s
SHIKWA,Jokhay,16m 4s
"Woh Lamhe Woh Baatein (From ""Zeher"")",Atif Aslam,16m 0s
運命 - Destiny,ClariS,15m 42s
Yaad Mein,Jokhay,15m 39s
逆夢 - Sakayume,King Gnu,15m 24s
Superstar (feat. Jaskaran & Rita Kim),dox,15m 23s
"Sajde (From ""Lost;Found"")",Faheem Abdullah,15m 21s
Mann Mera,Gajendra Verma,15m 16s
Titanium (feat. Sia),David Guetta,15m 11s
Parshawan,Harnoor,15m 5s
Jhol - Acoustic,Maanu,15m 2s
Bewafa Se Dil Laga Kar Ro Pare,Sher Ali,14m 50s
Meri Akhyon Main Aansoo Teri Yaad Ke,Mehr Ali,14m 49s
Apogee,Amhexxa,14m 45s
アメヲマツ、 - Ame Wo Matsu,minami,14m 45s
Kaafizyada,Nanku,14m 45s
Charmer,Diljit Dosanjh,14m 37s
Hero,Alan Walker,14m 36s
Azad Flow (Patla Sa Chora) (Lo-Fi),RP Singh,14m 36s
Phool,AUR,14m 35s
Tutor,Cheema Y,14m 28s
Call Aundi,Yo Yo Honey Singh,14m 27s
AL NACER! (Ultra Slowed),Sayfalse,14m 26s
TUM SE HI,Mohit Chauhan,14m 14s
ハニージェットコースター - Honey Jet Coaster,Nasuo,14m 12s
Tattoo,Loreen,14m 9s
Rihaayi,Paradox,14m 2s
Tere Liye,Atif Aslam,14m 0s
Dior,Shubh,13m 57s
Don't Let Me Down (feat. Daya),The Chainsmokers,13m 56s
This Is What You Came For,Calvin Harris,13m 54s
On & On,Cartoon,13m 48s
スピカ - Spica,Rokudenashi,13m 45s
月が満ちる - Sing The Moon,Tsukuyomi,13m 45s
怪物,YOASOBI,13m 41s
BM (London View),OTP,13m 38s
Rafta Rafta,K.K.,13m 36s
晴る - Sunny,Yorushika,13m 32s
"Agar Tum Saath Ho / Maahi Ve (From ""T-Series Mixtape"")",Jubin Nautiyal,13m 29s
Over,Miyu Tomita,13m 16s
"Adjust - superdupersultan, @JANIMUSIC ft. @SharehAkhter - Tired Souls and Heavy Hearts",superdupersultan,13m 1s
Body,Russ Millions,13m 0s
フリージア - Freesia,Uru,12m 58s
オセロ - Othello,Miko Iino(CV:Miyu Tomita),12m 52s
ハイドアンド·シーク,なゆごろう,12m 49s
感情を沢山込めて「弱虫モンブラン / DECO*27 Reloaded」Cover【こはならむ】,Kohana Lam,12m 43s
Aa Bhi Jaa Sanam,Atif Aslam,12m 41s
Hasi - ( Female Cover) | Slowed + Reverb | Lyrics | Hamari Adhuri Kahani | Chill Lofi | MR Lofi,MD Abidur Rahaman,12m 35s
Shots (Broiler Remix) (feat. Broiler),Imagine Dragons,12m 26s
Pal Pal,Afusic,12m 17s
勇者,YOASOBI,12m 16s
Teri Yaad,Faheem Abdullah,12m 13s
Aye Zindagi Gale Lagaa Le (Refresh Version),Abhay Jodhpurkar,12m 13s
Shhh (Pew Pew) [Slowed + Reverb],Young Fanatic,12m 11s
Ab Tere Dil Mein To,"Kumar Sanu, Alka Yagnik, & Chorus",12m 8s
Kabhi Nahi,JANI,12m 2s
すずめ - Suzume (feat. Toaka),RADWIMPS,11m 49s
"Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,11m 44s
TELESCOPE (Slowed),TWXN,11m 41s
ひとりぼっち東京 - hitoribocchi tokyo,kessoku band,11m 41s
Ek Hi,Hansika Pareek,11m 37s
AVANGARD (Ultra Slowed + Reverb),LONOWN,11m 36s
Daru Badnaam (feat. Pratik Studio),Param Singh,11m 30s
花泡沫 - Ephemeral Bloom,Rokudenashi,11m 28s
HASEEN,Jokhay,11m 26s
幻愛遊戯 - Gen Ai Yugi,GARNiDELiA,11m 26s
インフェルノ - Inferno,Mrs. GREEN APPLE,11m 22s
Bikhra,Abdul Hannan,11m 13s
誰そ彼 - Tasokare,ナツノセ,11m 10s
真昼の月明かり - Moonlight at midday,Tsukuyomi,11m 9s
百花繚乱,幾田りら,11m 7s
Haseen,Talwiinder,11m 5s
紡ぐ - Tsumugu,Tota,11m 5s
Kaikai Kitan,Eve,11m 4s
Gustakhiyan 2,The Landers,10m 58s
Pagol (feat. Bohemia),Deep Jandu,10m 57s
"Kamado Tanjirou no Uta (From ""Demon Slayer: Kimetsu no Yaiba"") [Full Version]",Akano,10m 56s
晩餐歌 - Bansanka,tuki.,10m 53s
Pretender,Official HIGE DANdism,10m 52s
Khoya,Talwiinder & NDS,10m 52s
Khwaab,Faheem Abdullah,10m 51s
No Respawn (feat. Link Up TV),Buni,10m 47s
Tu Hi Hai,Rahul Mishra,10m 45s
Wavy,Karan Aujla,10m 42s
Next to you (Parasyte Ost),Amy B,10m 42s
AAP KI NAZRON NE SAMJHA - SANAM,Sanam,10m 39s
Love Exit,Jind Universe,10m 37s
Wo Noor,AP Dhillon,10m 32s
COME THROUGH (feat. Abdullah Maharvi & Talha Anjum),Umair,10m 30s
Ric Flair Drip (Slowed + reverb),Chill MusicXD,10m 29s
Kehdo Na,JANI,10m 25s
Khayaal,Talwiinder,10m 22s
Qayde Se - Film Version,Papon,10m 16s
Khaab,Akhil,10m 5s
Stereo Love (Paki & Jaro Remix Radio Edit),"Edward Maya feat. Jigulina, Vika",10m 4s
Headlights (feat. KIDDO),Alok,10m 2s
花になって - Be a flower,Ryokuoushoku Shakai,9m 57s
Montagem Nada Tropica (Over Slowed + Reverb),Eternxlkz,9m 56s
かくれんぼ - hide-and-seek,AliA,9m 54s
